birthday,chamber,title,first_name,middle_name,last_name,name_suffix,nickname,party,state,state_name,term_start,term_end,in_office,phone,twitter_id
1953-03-01,senate,Sen,Luther,,Strange,,,R,AL,Alabama,2017-02-09,2021-01-03,true,202-224-4124,SenatorStrange
1957-06-23,house,Rep,Cresent,,Hardy,,,R,NV,Nevada,2015-01-06,2017-01-03,false,202-225-9894,
1949-11-10,house,Rep,Brad,,Ashford,,,D,NE,Nebraska,2015-01-06,2017-01-03,false,202-225-4155,
1963-01-31,house,Rep,Gwen,,Graham,,,D,FL,Florida,2015-01-06,2017-01-03,false,202-225-5235,
1970-09-26,house,Rep,Frank,,Guinta,,,R,NH,New Hampshire,2015-01-06,2017-01-03,false,202-225-5456,
1969-06-23,house,Rep,Bob,,Dold,,,R,IL,Illinois,2015-01-06,2017-01-03,false,202-225-4835,
1959-09-28,house,Rep,Curtis,,Clawson,,Curt,R,FL,Florida,2015-01-06,2017-01-03,false,202-225-2536,
1972-10-31,house,Rep,David,W.,Jolly,,,R,FL,Florida,2015-01-06,2017-01-03,false,202-225-5961,
1983-03-30,house,Rep,Patrick,,Murphy,,,D,FL,Florida,2015-01-06,2017-01-03,false,202-225-3026,
1950-03-24,house,Rep,Ann,,Kirkpatrick,,,D,AZ,Arizona,2015-01-06,2017-01-03,false,202-225-3361,
1958-03-13,house,Rep,Alan,,Grayson,,,D,FL,Florida,2015-01-06,2017-01-03,false,202-225-9889,
1958-01-21,house,Rep,Matt,,Salmon,,,R,AZ,Arizona,2015-01-06,2017-01-03,false,202-225-2635,
1950-04-02,house,Rep,Lynn,A.,Westmoreland,,,R,GA,Georgia,2015-01-06,2017-01-03,false,202-225-5901,
1976-08-31,house,Rep,Marlin,A.,Stutzman,,,R,IN,Indiana,2015-01-06,2017-01-03,false,202-225-4436,
1960-01-07,house,Rep,Loretta,B.,Sanchez,,,D,CA,California,2015-01-06,2017-01-03,false,202-225-2965,
1960-05-28,house,Rep,Edward,Scott,Rigell,,Scott,R,VA,Virginia,2015-01-06,2017-01-03,false,202-225-4215,
1956-04-05,house,Rep,Reid,J.,Ribble,,,R,WI,Wisconsin,2015-01-06,2017-01-03,false,202-225-5665,
1930-06-11,house,Rep,Charles,B.,Rangel,,Charlie,D,NY,New York,2015-01-06,2017-01-03,false,202-225-4365,
1939-10-10,house,Rep,Joseph,R.,Pitts,,,R,PA,Pennsylvania,2015-01-06,2017-01-03,false,202-225-2411,
1959-04-26,house,Com,Pedro,R.,Pierluisi,,,D,PR,Puerto Rico,2013-01-03,2017-01-03,false,202-225-2615,
1951-05-26,house,Rep,Richard,B.,Nugent,,,R,FL,Florida,2015-01-06,2017-01-03,false,202-225-1002,
1949-12-24,house,Rep,Randy,,Neugebauer,,,R,TX,Texas,2015-01-06,2017-01-03,false,202-225-4005,
1959-06-27,house,Rep,Jeff,,Miller,,,R,FL,Florida,2015-01-06,2017-01-03,false,202-225-4136,
1943-01-27,house,Rep,John,L.,Mica,,,R,FL,Florida,2015-01-06,2017-01-03,false,202-225-4035,
1936-12-28,house,Rep,Jim,A.,McDermott,,,D,WA,Washington,2015-01-06,2017-01-03,false,202-225-3106,
1954-09-10,house,Rep,Cynthia,M.,Lummis,,,R,WY,Wyoming,2015-01-06,2017-01-03,false,202-225-2311,
1947-09-06,house,Rep,John,Paul,Kline,,,R,MN,Minnesota,2015-01-06,2017-01-03,false,202-225-2271,
1958-05-30,house,Rep,Steve,J.,Israel,,,D,NY,New York,2015-01-06,2017-01-03,false,202-225-3335,
1969-06-16,house,Rep,Robert,,Hurt,,,R,VA,Virginia,2015-01-06,2017-01-03,false,202-225-4711,
1968-11-11,house,Rep,Tim,,Huelskamp,,,R,KS,Kansas,2015-01-06,2017-01-03,false,202-225-2715,
1941-06-27,house,Rep,Michael,M.,Honda,,Mike,D,CA,California,2015-01-06,2017-01-03,false,202-225-2631,
1940-08-20,house,Rep,Rubén,E.,Hinojosa,,,D,TX,Texas,2015-01-06,2017-01-03,false,202-225-2531,
1961-10-30,house,Rep,Joseph,J.,Heck,,,R,NV,Nevada,2015-01-06,2017-01-03,false,202-225-3252,
1951-01-25,house,Rep,Richard,L.,Hanna,,,R,NY,New York,2015-01-06,2017-01-03,false,202-225-3665,
1964-05-13,house,Rep,Christopher,P.,Gibson,,,R,NY,New York,2015-01-06,2017-01-03,false,202-225-5614,
1959-07-09,house,Rep,Scott,,Garrett,,,R,NJ,New Jersey,2015-01-06,2017-01-03,false,202-225-4465,
